s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load
59139.9202	16:25:39	6449.96	6625.59	6428.20	6435.66	2779.97	1854.10	0.00
31484.2274	8:44:44	8884.96	9224.72	8849.32	8859.26	393.17	1857.43	0.00
23717.2108	6:35:17	12801.00	13299.39	12755.64	12765.77	387.71	1870.12	0.00
18338.6291	5:05:38	17921.86	18580.75	17867.81	17878.02	366.13	1829.90	0.00
15298.5466	4:14:58	22429.70	23234.62	22366.48	22376.62	372.52	1840.20	0.00
13783.2070	3:49:43	28093.99	29048.91	28021.75	28031.94	2800.89	1878.09	0.00
12262.3285	3:24:22	24639.89	25759.47	24559.15	24569.30	2749.65	1831.62	0.00
10539.1859	2:55:39	31791.64	33056.73	31701.24	31711.50	372.57	1826.18	0.00
10346.5021	2:52:26	36732.12	38157.52	36633.29	36643.55	371.79	1839.50	0.00
9207.6672	2:33:27	45025.90	46583.61	44916.72	44927.05	2735.39	1838.18	0.00
